Dst Port,Protocol,Flow Duration,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0.1763225,0.7287926,0.0,0.0,0.06866561,0.0,0.0,0.0,0.0,1.3495823,0.0,0.0,0.0,0.0,0.0,0.43984365,0.0,0.10098053,2.2026336,0.0,2.764838,0.0,0.14714712,0.2487724,1.0065188,1.3786486,1.3247343,0.06949662,0.0,0.0,0.0,0.2636782,0.035371684,0.3056655,0.20111421,0.5588546,0.0,0.0,0.26569682,0.0,0.0,0.01688446,0.0,0.122367576,0.4918131,0.0,0.0,0.0,0.077367954,1.6342957,0.0,0.8791024,0.0,0.48972347,1.7215453,1.068433,1.7717078,0.5715722,0.0,1.3986648,0.0,0.0,0.0,0.96513206,0.0,0
0.0,0.0,0.0,0.0,0.0,0.29335064,0.0,0.4358377,0.0,0.5410144,0.0,0.0,0.0,0.0,1.5390179,0.36594024,0.0,0.5326943,0.0,0.0,0.2361334,0.06701414,0.8726125,0.17564847,2.5339985,0.494866,0.0,0.12882736,0.73106664,0.0,2.2748685,0.0,0.04175839,0.796788,0.22102873,0.0,0.16343106,1.8644502,0.30685246,0.0,0.0,0.0,0.0,0.123456895,1.3886825,0.0,0.0,0.0,0.0,0.41050136,0.4190163,0.2996473,0.0,0.005351901,0.0,0.0,2.3503246,0.0,0.0,1.3009007,0.0,0.09486535,0.62952715,0.2684986,0.0,0
1.0026127,0.9829021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.439362,0.0,0.0,1.4376262,0.0,0.0,0.01247832,0.24737665,0.0,1.7717944,0.0,2.547818,0.0,0.45918489,1.2106799,0.0,0.0,0.3336892,0.6511673,0.0,0.0,0.0,1.2446887,0.0,0.045429006,0.18334664,0.031531207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5276939,0.0,0.0,0.7543697,1.2884392,0.3251964,0.00856621,0.052859776,0.0,0.0,0.9866104,0.82158077,1.8529032,0.553594,0.0,0.63521606,0.0,0.0,0.0,0.90131396,0.0,0
0.43845603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7924046,0.0,0.0,0.0,0.0,0.0,0.30139408,0.0,0.0,0.0,0.0,2.1662416,0.0,0.9401903,0.18952104,2.7427986,0.3875477,0.4998509,0.9694735,0.13342611,0.0,1.4041358,0.0,0.0,1.2656533,0.382621,0.0,0.0,0.59992355,0.12280018,0.0,0.0,0.0,0.0,0.0,0.7966294,0.0,0.0,0.0,0.8822796,0.71597725,0.0,0.8784466,0.0,0.74097884,1.2581313,0.4367922,1.3277347,0.30284625,0.31190872,1.0891958,0.0,0.0,0.14569116,2.0579603,0.0,0
0.0,0.0,0.49497378,0.0067950347,0.0444624,0.5730823,0.0,1.3882371,1.3227714,0.0,0.0,0.0,0.0,0.025990855,3.6841116,1.4393332,0.0,0.0,0.0,0.49154043,0.0,0.25930303,1.3393257,0.38705322,4.4501867,0.10553941,0.07649446,0.0,0.0,0.0,3.9966578,0.0,0.30230886,0.0,0.0730233,0.0,1.0345147,2.9849098,1.7716925,0.32769632,0.12093676,0.037949245,0.0,0.4026249,0.0,0.23429045,0.159632,0.0,0.0,0.0,0.0,0.25288206,0.0,0.0,0.0,0.0,0.0,0.0,0.44120026,0.08071601,0.0,0.67844385,0.33398888,0.0,0.10650993,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1604972,0.032072384,0.0,0.03826917,0.0,0.0,0.0,0.26602876,0.5685605,0.0,0.0,1.6984456,0.0,0.0,0.90993714,0.14738381,0.015109799,3.0814502,0.49531773,0.8294258,0.0,0.539902,0.0,2.53759,0.0,0.18592055,0.5262213,0.4192995,0.0,0.1060956,2.3631964,1.0319638,0.0,0.0,0.0,0.0,0.0,2.4915082,0.0,0.0,0.0,0.0,0.1393772,0.8351553,0.08974104,0.18711309,0.0,0.0,0.0,1.2193652,0.0,0.0,1.3037745,0.0,0.10771145,0.44561484,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0021078316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.823088,1.3636873,0.0,0.05200398,0.1848236,0.0,0.26759687,0.18714665,0.0,0.0,3.1241803,0.0,3.1106355,0.9358535,0.089850254,0.0,0.6454851,0.0,1.0802811,0.3505555,0.0,0.36963606,0.3341439,1.9113439,0.94238293,0.0,0.0,0.34171784,0.0,0.31390315,1.1767436,0.0,0.0,0.0,0.0,0.51307493,0.0,0.23307648,0.0,0.4430648,0.7334023,0.6783836,0.0,0.0,0.0,1.053372,0.0,0.0,0.0,1.6998459,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1060153,0.0,0.76466465,0.0,0.0,0.0,0.0,0.0,0.40345103,0.22684318,0.0,2.9125197,0.054630283,2.4044027,0.0,0.0,0.15055537,1.6561407,0.2395508,1.7454307,0.9595543,0.0,0.0,0.0,0.0,0.4780035,0.53429407,0.0998579,0.33841914,0.0,0.0,0.83598626,0.0,0.0,0.0,0.0,0.0,1.7877939,0.0,0.0,0.0,0.0,1.7672074,0.0,0.9780573,0.0,0.89884007,1.3012215,1.450772,0.8969307,0.0,0.0,1.1536208,0.0,0.0,0.0,2.1628177,0.0,0
0.0,0.62561923,0.35451373,0.0,0.024333853,0.29112887,0.0,0.15210533,0.0,0.7519413,0.83454067,0.0,1.7193624,0.0,0.014001269,0.4318423,0.8154478,0.11341829,1.7180569,0.0,0.0,0.61402875,0.0,0.96851575,0.0,0.0,0.06470504,0.0,0.8391028,0.0,1.0800742,0.0,0.0,0.0,0.0,0.16270748,0.2610412,1.5083385,0.6820104,0.14525004,0.0,0.0,0.0,0.0,1.4718227,0.0,0.00675527,0.8891357,0.0,0.0,1.4790905,0.0,0.007912297,0.0,0.0,0.17859708,2.920783,0.0,0.0,0.8477923,0.0,1.85115,0.67171115,0.0,0.0,0
1.5718672,0.0,0.22920926,0.0,0.0,0.027198069,0.0,0.0,0.114712276,1.6622938,0.0,0.0,2.033215,0.0,0.0,0.0,0.836944,0.50811994,0.0,0.014001896,2.3393505,0.0,0.7975799,0.19058332,0.0,0.7479677,0.0,0.96935785,0.0,0.0,0.0,0.10480997,0.0,0.7276678,0.5695867,0.11896521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0587956,0.16851135,0.0,0.0,0.049209997,2.8655958,0.0,0.0,0.44345388,0.0,0.5999342,0.82199967,0.2857107,0.38814607,0.2910702,0.73795485,0.0,0.0,0.33531818,0.35395586,0.9251762,0.0,0
